stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,term_left,term_right,term_midpoint,ve,ve.ll,ve.ul,diff,diff.std.error,z,diff.ll,diff.ul,diff.p.value
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,-1.2730252502257922,-1.5012494018611697,-1.0448010985904146,0.11644303335958248,-10.93260123424147,8.050696573277175e-28,0.2799833196612523,0.22285155499219964,0.35176177833391764,0,3,1.5,0.7200166803387478,0.6482382216660824,0.7771484450078003,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,-1.3662781615142132,-1.578655090416449,-1.1539012326119775,0.10835756706625117,-12.608977836119683,1.884208785216668e-36,0.2550544667550102,0.2062523024539742,0.3154039021028593,3,7,5,0.7449455332449898,0.6845960978971407,0.7937476975460258,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,-1.2821051935865517,-1.455286570309588,-1.1089238168635154,0.08835946889283117,-14.510105251329461,1.045600115565293e-47,0.2774525937877628,0.23333348786941044,0.32991381778272916,7,14,10.5,0.7225474062122372,0.6700861822172708,0.7666665121305896,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,-1.4452512353715947,-1.6462180253508447,-1.2442844453923447,0.10253596064236407,-14.09506700202963,4.0726114557139387e-45,0.23568685624214827,0.19277761171647909,0.28814701930742237,14,21,17.5,0.7643131437578518,0.7118529806925776,0.8072223882835209,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,-1.8026839670732169,-2.0489393163707192,-1.5564286177757145,0.12564279305126688,-14.347690968137389,1.1014370255720173e-46,0.16485582629614307,0.1288715230347536,0.21088788914564915,21,28,24.5,0.835144173703857,0.7891121108543508,0.8711284769652464,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,-2.030170617190447,-2.3272699895496114,-1.7330712448312824,0.1515840978215143,-13.393031633047098,6.64135117345437e-41,0.13131311496236348,0.09756172839654385,0.17674076140834058,28,35,31.5,0.8686868850376366,0.8232592385916594,0.9024382716034561,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,-2.1530567498999766,-2.4057503864259795,-1.9003631133739738,0.12892769383479394,-16.699722812531434,1.3167507008912047e-62,0.11612863847947985,0.09019778701412705,0.14951431871588525,35,42,38.5,0.8838713615205201,0.8504856812841147,0.9098022129858729,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,-1.3353659061522338,-1.5637124746786306,-1.107019337625837,0.11650549210473535,-11.461827953585015,2.051388778850796e-30,0.2630619018752406,0.20935739266388295,0.33054273048441984,0,3,1.5,0.7369380981247594,0.6694572695155802,0.790642607336117,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,-1.4301898706002496,-1.642567518006586,-1.2178122231939132,0.10835793365671213,-13.198755479513132,8.919648703502506e-40,0.23926348882841444,0.19348263386518572,0.29587677169121657,3,7,5,0.7607365111715856,0.7041232283087835,0.8065173661348143,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,-1.344053806588073,-1.5165050020317523,-1.1716026111443936,0.08798692057810877,-15.275609121868449,1.111842487221075e-52,0.26078634548014296,0.21947762189432293,0.3098699421011342,7,14,10.5,0.7392136545198571,0.6901300578988658,0.780522378105677,0,NA,NA,NA,NA,NA
