term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,model,strata
"vax_az:strata(timesincevax)(0,3]",0.9977786069361868,0.23571040339830382,0.2356016120295658,4.235024532900797,2.285267552353919e-5,0.5360079326586592,1.4595492812137145,0 Unadjusted,all
"vax_az:strata(timesincevax)(3,7]",0.6819215696305098,0.16318964936600439,0.1631273726313235,4.180301310753583,2.9112308651560228e-5,0.3621977943804709,1.0016453448805487,0 Unadjusted,all
"vax_az:strata(timesincevax)(7,14]",0.41069608436682253,0.11836451144165894,0.11850465859230354,3.465653496203531,5.289444962048312e-4,0.1784312215256926,0.6429609472079525,0 Unadjusted,all
"vax_az:strata(timesincevax)(14,21]",0.11800902114632698,0.15097520097289502,0.15121454101843754,0.780407891671861,0.43515082422563806,-0.1783660331885652,0.4143840754812192,0 Unadjusted,all
"vax_az:strata(timesincevax)(21,28]",0.5943526743554218,0.1810740666753209,0.18217922113931292,3.262461386312102,0.0011044921857309604,0.2372879621908105,0.9514173865200332,0 Unadjusted,all
"vax_az:strata(timesincevax)(28, Inf]",0.5351425876131184,0.23499839729986077,0.23514498548472818,2.275798425001387,0.022858077062058172,0.07426688491785749,0.9960182903083793,0 Unadjusted,all
calendar_weekweek 01,9.472731235498646,235.7583696292331,0.6575142089203849,14.406884455094188,4.683664243383959e-47,8.184027066691346,10.761435404305946,1 Time,all
calendar_weekweek 02,9.649758781549327,235.75809465651878,0.4986604962817709,19.35136000044543,1.9853374983843286e-83,8.672402168324187,10.627115394774467,1 Time,all
calendar_weekweek 03,10.009735673085823,235.7580543504811,0.49344329414619464,20.285483239580095,1.7275702134202812e-91,9.042604588146478,10.976866758025167,1 Time,all
calendar_weekweek 04,9.934734451761372,235.75806094589066,0.5129970710852642,19.366064665328548,1.4923767126768253e-83,8.92927866825972,10.940190235263024,1 Time,all
calendar_weekweek 05,9.867182143537699,235.7580449419771,0.503284157819428,19.605588592911598,1.385401467731555e-85,8.880763320222048,10.85360096685335,1 Time,all
calendar_weekweek 06,10.087505990966518,235.75801882374165,0.49737797302715386,20.28136857282138,1.8783192159555189e-91,9.112663077129762,11.062348904803274,1 Time,all
calendar_weekweek 07,9.981175094007867,235.75802881697314,0.5020464467453191,19.880979456610262,5.946168536932012e-88,8.997182139820735,10.965168048194998,1 Time,all
calendar_weekweek 08,9.94230309442218,235.75804373705785,0.5083735972654454,19.557079966194316,3.590595747635729e-85,8.945909153090836,10.938697035753522,1 Time,all
calendar_weekweek 09,10.211128001135624,235.75805281881844,0.505877068381421,20.184998766215354,1.3263094348713412e-90,9.219627166503333,11.202628835767914,1 Time,all
calendar_weekweek 10,10.04387046492274,235.7580818822207,0.5154086654158746,19.487197516981034,1.4099426402330168e-84,9.033688043387771,11.05405288645771,1 Time,all
"vax_az:strata(timesincevax)(0,3]",0.7941931806487379,0.25044007249983896,0.24735528087573588,3.210738731095527,0.0013239424674569428,0.3093857387465065,1.2790006225509694,1 Time,all
"vax_az:strata(timesincevax)(3,7]",0.5350185782497735,0.17643698539770714,0.17745976076416817,3.014872644626048,0.002570871810242327,0.1872038384469098,0.8828333180526372,1 Time,all
"vax_az:strata(timesincevax)(7,14]",0.24562476808358372,0.13361520227670737,0.13436469938648143,1.8280453810050072,0.06754274112409664,-0.01772520350747095,0.5089747396746384,1 Time,all
"vax_az:strata(timesincevax)(14,21]",0.042595908864287615,0.16356048522087674,0.1646487627835131,0.25870773727157886,0.7958607492816858,-0.2801097362904768,0.365301554019052,1 Time,all
