.level,n,pct,pct_nonmiss,redacted
East,1080159,0.23394608076709159,0.23397597940274725,FALSE
East Midlands,808357,0.17507788391398288,0.1751002591119146,FALSE
London,189474,0.04103719888207561,0.04104244349337101,FALSE
North East,216204,0.04682651206550912,0.04683249655910988,FALSE
North West,426742,0.09242585434062041,0.09243766649380987,FALSE
South East,333744,0.07228389596303156,0.07229313394582694,FALSE
South West,753062,0.16310182433755357,0.16312266897835564,FALSE
West Midlands,163574,0.035427651128580366,0.035432178831843256,FALSE
Yorkshire and The Humber,645222,0.1397453135369,0.13976317318302156,FALSE
(missing),590,1.27785064654911e-4,0,FALSE
