stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,term_left,term_right,term_midpoint,ve,ve.ll,ve.ul,diff,diff.std.error,z,diff.ll,diff.ul,diff.p.value
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,-1.5882130577246005,-1.7552378324729208,-1.4211882829762803,0.0852182877164021,-18.63699799988958,1.6102770266330512e-77,0.20429034080870587,0.17286612422449585,0.24142696283013693,0,3,1.5,0.7957096591912941,0.7585730371698631,0.8271338757755041,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,-1.2479825781032474,-1.370803870195796,-1.1251612860106988,0.06266507602249195,-19.91512110597803,3.009239964816008e-88,0.2870833813391629,0.25390277262236094,0.3246001096794201,3,7,5,0.7129166186608371,0.6753998903205799,0.7460972273776391,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,-1.0816767341356934,-1.1721821402376176,-0.9911713280337694,0.04617707611763237,-23.42453929694919,2.4034035339901132e-121,0.33902659134383695,0.3096904154800455,0.3711417076310098,7,14,10.5,0.660973408656163,0.6288582923689903,0.6903095845199545,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,-1.242339620298204,-1.3423919077689006,-1.1422873328275074,0.051048023463643316,-24.336684086955984,8.021243591820715e-131,0.2887079601504813,0.2612201063332435,0.3190883252605287,14,21,17.5,0.7112920398495187,0.6809116747394712,0.7387798936667564,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,-1.4626961052289589,-1.5959051574918308,-1.329487052966087,0.0679650510486968,-21.521297823802715,9.83701836700002e-103,0.23161098459787166,0.2027249474252415,0.26461295892641734,21,28,24.5,0.7683890154021283,0.7353870410735827,0.7972750525747585,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,-1.5947746868739818,-1.7516022316010937,-1.43794714214687,0.08001552373622556,-19.930816076780573,2.199463068295247e-88,0.2029542516082112,0.173495740279274,0.2374146372674359,28,35,31.5,0.7970457483917888,0.762585362732564,0.8265042597207259,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,-1.6044306591405721,-1.7386939224453242,-1.4701673958358201,0.06850292370870255,-23.421345721872406,2.5904319779532965e-121,0.2010039621073303,0.17574979364256244,0.22988699983918798,35,42,38.5,0.7989960378926697,0.7701130001608121,0.8242502063574375,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,-1.4757848619564227,-1.6433662083408103,-1.308203515572035,0.08550225805486632,-17.26018581882855,9.380857864102145e-67,0.2285992377722907,0.19332816285114174,0.27030521957791254,0,3,1.5,0.7714007622277093,0.7296947804220875,0.8066718371488583,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,-1.1260477607675854,-1.2496651737178393,-1.0024303478173315,0.06307126759743151,-17.853577447576814,2.711005195457784e-71,0.32431248737989604,0.28660074225776805,0.3669864517515375,3,7,5,0.675687512620104,0.6330135482484625,0.7133992577422319,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,-0.94868400939532,-1.040229414367718,-0.8571386044229221,0.04670769753653457,-20.311084883883716,1.0261267218527597e-91,0.3872503060398611,0.3533736036770186,0.42437465041964817,7,14,10.5,0.6127496939601389,0.5756253495803518,0.6466263963229815,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",15-21,-1.102844027319011,-1.2039239465427987,-1.0017641080952233,0.05157233501283345,-21.38441137180574,1.866268552590955e-101,0.3319257341794661,0.3000146576930095,0.36723103416938396,14,21,17.5,0.6680742658205339,0.632768965830616,0.6999853423069905,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",22-28,-1.3021530122911087,-1.4368262855164573,-1.16747973906576,0.06871211628766359,-18.950850048623725,4.345075643437361e-80,0.27194565993619085,0.2376808942278385,0.3111501334526215,21,28,24.5,0.7280543400638091,0.6888498665473786,0.7623191057721614,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",29-35,-1.435073928127289,-1.594148407408868,-1.27599944884571,0.0811619399827437,-17.68161195299679,5.811076927595286e-70,0.23809776124242468,0.20308139749862525,0.27915183077779654,28,35,31.5,0.7619022387575753,0.7208481692222035,0.7969186025013748,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",36+,-1.4688446120377918,-1.6083002728741733,-1.3293889512014103,0.07115215480304231,-20.643712282554613,1.111861114662271e-94,0.23019129184985362,0.20022765738345488,0.26463891919799776,35,42,38.5,0.7698087081501463,0.7353610808020022,0.7997723426165451,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",1-3,-1.0573417002859098,-1.3150598388223207,-0.7996235617494989,0.1314912623748491,-8.041155596116264,8.89951663487084e-16,0.34737801892195086,0.268458258532562,0.4494981405666189,0,3,1.5,0.6526219810780491,0.550501859433381,0.731541741467438,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",4-7,-0.9186834788648931,-1.0723158229397045,-0.7650511347900818,0.07838528936584738,-11.720100624711929,1.005524913760372e-31,0.39904404533861343,0.3422150894994411,0.46531013682979455,3,7,5,0.6009559546613865,0.5346898631702055,0.6577849105005589,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",8-14,-0.7732214359516681,-0.8717399295747978,-0.6747029423285384,0.05026546120246652,-15.382758209204022,2.1364892689407837e-53,0.46152390128281734,0.41822323684657714,0.5093076918953003,7,14,10.5,0.5384760987171826,0.49069230810469966,0.5817767631534229,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",15-21,-0.9053960862746318,-1.0374641112842657,-0.7733280612649979,0.06738288358937698,-13.436588611909285,3.6906220427880756e-41,0.4043816833437693,0.35435214114565206,0.46147469377566347,14,21,17.5,0.5956183166562308,0.5385253062243365,0.645647858854348,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",22-28,-1.0975404793535353,-1.2327975378543046,-0.9622834208527659,0.06900997139113772,-15.904085413002818,5.936390815933032e-57,0.3336907946358147,0.2914760208371511,0.38201957781938073,21,28,24.5,0.6663092053641853,0.6179804221806193,0.7085239791628489,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",29-35,-1.2034645429972066,-1.363874686807229,-1.0430543991871843,0.08184341399909237,-14.704476318773223,6.033587336532277e-49,0.3001525171546213,0.2556682209906945,0.3523767373401261,28,35,31.5,0.6998474828453787,0.6476232626598739,0.7443317790093056,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",36+,-1.2059904827938248,-1.349256935198019,-1.0627240303896306,0.07309647194247537,-16.498614101962424,3.754100564562045e-61,0.2993953067030993,0.2594329645457097,0.3455133384179079,35,42,38.5,0.7006046932969008,0.6544866615820921,0.7405670354542904,0,NA,NA,NA,NA,NA
