strata,model,model_descr,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,ve,ve.ll,ve.ul
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-2.144999946001677,-2.303428459112548,-1.986571432890806,0.08083235934973028,-26.536401550783562,3.6864425403834223e-155,0.11706804336560424,0.09991569894147476,0.1371648992364914,0.8829319566343957,0.8628351007635087,0.9000843010585252
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-1.8780096188660529,-1.993536675407201,-1.7624825623249047,0.058943458886189216,-31.861204862310533,9.208481391713548e-223,0.15289412067702424,0.13621283198730755,0.17161828145367908,0.8471058793229758,0.8283817185463209,0.8637871680126925
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-1.7964003828577653,-1.8799361328012307,-1.7128646329142998,0.04262106375544903,-42.14818271935079,0,0.1658949731283109,0.15259985157071407,0.18034841990976527,0.8341050268716891,0.8196515800902348,0.8474001484292859
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-1.805890637750877,-1.8881826773231778,-1.7235985981785762,0.041986505987563996,-43.01121503860704,0,0.16432803463120754,0.151346604681128,0.17842291885337908,0.8356719653687925,0.821577081146621,0.848653395318872
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-1.8780173175031165,-1.9630622286999055,-1.7929724063063275,0.043391058135563994,-43.281205810555335,0,0.1528929436052109,0.14042773998019598,0.16646463303876335,0.8471070563947891,0.8335353669612366,0.859572260019804
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-2.2534751129955928,-2.328711897616058,-2.1782383283751274,0.03838681996910325,-58.70439684270194,0,0.10503358603243333,0.09742115472490347,0.11324084821191802,0.8949664139675667,0.886759151788082,0.9025788452750966
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw1-3,-2.0851545712950474,-2.2437727471529767,-1.9265363954371182,0.08092912783555682,-25.765192669961273,2.1782686422810693e-146,0.12428790733814582,0.10605762005304888,0.145651806091527,0.8757120926618542,0.8543481939084729,0.8939423799469511
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw4-7,-1.800910494330987,-1.9166752416532122,-1.6851457470087619,0.05906473192128161,-30.490454045083055,3.487507341608436e-204,0.16514845301653558,0.14709520604815604,0.18541740595424905,0.8348515469834644,0.814582594045751,0.8529047939518439
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw8-14,-1.6914387634201307,-1.7754123911593613,-1.6074651356809,0.04284447489933693,-39.47857378096394,0,0.18425423494142307,0.1694135704329834,0.20039494479150305,0.8157457650585769,0.799605055208497,0.8305864295670166
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw15-21,-1.6726029719653321,-1.7557023423098164,-1.589503601620848,0.04239841701172142,-39.44965613935365,0,0.18775770098188038,0.17278584485604923,0.20402686520629645,0.8122422990181196,0.7959731347937036,0.8272141551439508
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw22-28,-1.7263839468411497,-1.8127911668604375,-1.639976726821862,0.044086126429289996,-39.15934754690021,0,0.17792664029024535,0.16319798768977062,0.19398455687550553,0.8220733597097547,0.8060154431244945,0.8368020123102293
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw29+,-2.1080162026229,-2.186618978633391,-2.029413426612409,0.04010419407218699,-52.563484976870505,0,0.12147871671412981,0.11229578193448705,0.13141258166865988,0.8785212832858702,0.8685874183313401,0.8877042180655129
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw1-3,-1.486405056757799,-1.8876006853630818,-1.0852094281525164,0.20469540857376098,-7.261545664919887,3.826917599892629e-13,0.22618431550607143,0.15143471282486895,0.3378310271576555,0.7738156844939286,0.6621689728423445,0.848565287175131
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw4-7,-1.1415389155098539,-1.4408111757131472,-0.8422666553065605,0.15269273443997686,-7.476052607850769,7.658830698515745e-14,0.3193272258765426,0.2367356465673835,0.43073309264806536,0.6806727741234574,0.5692669073519346,0.7632643534326164
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw8-14,-1.1650114222695458,-1.3380428173148986,-0.991980027224193,0.08828294622258491,-13.19633600958718,9.210728150440446e-40,0.3119190991882715,0.2623586502246855,0.3708416869621032,0.6880809008117286,0.6291583130378968,0.7376413497753145
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw15-21,-1.2325668711532844,-1.3344611089164633,-1.1306726333901056,0.05198781128985408,-23.70876635450571,2.928068828515603e-124,0.29154326240420114,0.26330002726824725,0.3228160465273722,0.7084567375957989,0.6771839534726278,0.7366999727317527
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw22-28,-1.2569050161476905,-1.3844841931623375,-1.1293258391330434,0.06509261293624545,-19.309487812061843,4.469831728257736e-83,0.28453329108440806,0.2504529518251458,0.3232511062271141,0.7154667089155919,0.6767488937728858,0.7495470481748542
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw29+,-1.6769647021431768,-1.7749925355516685,-1.5789368687346852,0.05001511975818059,-33.52915498855501,1.8125260743748642e-246,0.18694053597354904,0.1694847146046436,0.20619419321440274,0.813059464026451,0.7938058067855973,0.8305152853953564
