strata,model,model_descr,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,ve,ve.ll,ve.ul
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-1.5357756098446773,-1.732693735634286,-1.3388574840550687,0.10047027769024013,-15.285870061787094,9.49858667864264e-53,0.21528864640373566,0.1768074952667865,0.2621450023960578,0.7847113535962643,0.7378549976039421,0.8231925047332135
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-1.2317923936947666,-1.3793375356534863,-1.0842472517360469,0.07527951693119718,-16.36291575596296,3.51869442729988e-60,0.29176914354775235,0.25174527009745573,0.33815623663409317,0.7082308564522477,0.6618437633659069,0.7482547299025443
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-1.0260137597922305,-1.1334517723140975,-0.9185757472703635,0.05481631977389604,-18.71730470094102,3.578041140554144e-78,0.3584329162826057,0.3219201413862391,0.39908703730566025,0.6415670837173943,0.6009129626943397,0.6780798586137609
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-1.2043873958918916,-1.3245622966574395,-1.0842124951263437,0.061314851555167436,-19.642670011330875,6.67924270852576e-86,0.2998756483095755,0.2659193273981234,0.338167990002681,0.7001243516904245,0.661832009997319,0.7340806726018766
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-1.493219442812063,-1.6349878028762608,-1.3514510827478654,0.07233212507089341,-20.64393160505853,1.1068266660693382e-94,0.22464824788373244,0.19495474917188005,0.2588643543776268,0.7753517521162676,0.7411356456223732,0.80504525082812
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-1.9088665795673685,-2.0375920486567733,-1.7801411104779636,0.06567746657835295,-29.06425413486524,1.0164612970137445e-185,0.14824831908237995,0.13034219095836433,0.16861435233792804,0.85175168091762,0.831385647662072,0.8696578090416357
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw1-3,-1.4290304887599776,-1.6262098654845099,-1.2318511120354454,0.1006035714328723,-14.204570159952004,8.582766269780288e-46,0.23954104743951848,0.1966735826239078,0.29175201185075933,0.7604589525604815,0.7082479881492407,0.8033264173760922
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw4-7,-1.1165531330598495,-1.2644627893679319,-0.9686434767517671,0.07546549705748422,-14.795544674002997,1.5651222069718453e-49,0.3274063781366978,0.2823909588249533,0.37959762200119757,0.6725936218633022,0.6204023779988024,0.7176090411750466
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw8-14,-0.9022359499560384,-1.0098453215558831,-0.7946265783561938,0.05490374948144642,-16.433047988114733,1.109397743872943e-60,0.40566160588757777,0.36427532075387214,0.45174989661865306,0.5943383941124223,0.5482501033813469,0.6357246792461279
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw15-21,-1.0806821151900436,-1.2007795134781498,-0.9605847169019376,0.06127530874823163,-17.636502161586115,1.2921604153677552e-69,0.33936396136416114,0.3009595184497186,0.3826690674746577,0.6606360386358389,0.6173309325253423,0.6990404815502814
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw22-28,-1.374943546441617,-1.517167649126347,-1.2327194437568871,0.07256465108878309,-18.947842038947712,4.600664969054062e-80,0.2528538699025378,0.2193322338616448,0.291498784282751,0.7471461300974622,0.708501215717249,0.7806677661383552
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw29+,-1.8064356708285505,-1.9386829336665508,-1.6741884079905502,0.06747433314139946,-26.772190056965474,6.812908352671368e-158,0.16423849482004044,0.14389334210569066,0.18746025900864582,0.8357615051799596,0.8125397409913542,0.8561066578943093
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw1-3,-0.7928397616019279,-1.1970475675956012,-0.3886319556082548,0.20623226201196188,-3.844402199089208,1.208466675961745e-4,0.45255781248651983,0.3020847814897948,0.6779837522185903,0.5474421875134802,0.3220162477814097,0.6979152185102052
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw4-7,-0.8045040024331793,-1.047860147279922,-0.5611478575864366,0.12416357992611345,-6.479387940585467,9.209543528913004e-11,0.44730973608703045,0.3506873661043904,0.5705537733534676,0.5526902639129696,0.4294462266465324,0.6493126338956097
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw8-14,-0.6844057166067168,-0.7982822590557821,-0.5705291741576515,0.0581013443855647,-11.779516013690685,4.977806750101444e-32,0.5043898910600809,0.45010145815868524,0.5652262564186301,0.4956101089399191,0.4347737435813699,0.5498985418413147
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw15-21,-0.771829308496449,-1.0466265073916596,-0.49703210960123845,0.14020522880153713,-5.504996604577326,3.691753844489345e-8,0.46216684880564535,0.35112025498712296,0.6083334501530645,0.5378331511943546,0.3916665498469355,0.648879745012877
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw22-28,-1.1800369592808182,-1.3238783319609941,-1.0361955866006423,0.07338980400394009,-16.079031349061314,3.579317786580728e-58,0.30726738200980885,0.26610126904390463,0.35480193080771943,0.6927326179901911,0.6451980691922805,0.7338987309560954
all,3,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",timesincevax_pw29+,-1.5681668973664888,-1.703508877495565,-1.4328249172374128,0.06905329954868368,-22.709514355080255,3.608075174560155e-114,0.2084269002858693,0.18204363325213008,0.2386338483071744,0.7915730997141307,0.7613661516928256,0.81795636674787
