.level,n,pct,pct_nonmiss,redacted
East,177013,0.18408556750348384,0.18410011814823443,FALSE
East Midlands,153829,0.1599752490692402,0.15998789396611973,FALSE
London,33427,0.03476257825661931,0.034765325989283453,FALSE
North East,59260,0.06162773768173215,0.06163260891270343,FALSE
North West,107666,0.11196780299091079,0.11197665324325223,FALSE
South East,78862,0.08201293704111982,0.082019419575997607,FALSE
South West,165221,0.17182241727157388,0.1718359986021899,FALSE
West Midlands,39709,0.04129557603111546,0.04129884015043099,FALSE
Yorkshire and The Humber,146517,0.15237109756858502,0.1523831414117882,FALSE
(missing),76,7.903658561950124e-5,0,FALSE
