.level1,.level2,n,pct,pct_nonmiss,redacted
Black,Ox-AZ,20146,0.010132574852768644,0.013014203479196719,FALSE
Mixed,Ox-AZ,8526,0.004289082878518227,0.005507748380007506,FALSE
South Asian,Ox-AZ,63931,0.0321497663860416,0.04129906892825005,FALSE
White,Ox-AZ,1442091,0.7252014923534237,0.9315827315357031,FALSE
Other,Ox-AZ,13307,0.006690345716473971,0.008596247676842587,FALSE
(missing),Ox-AZ,440531,0.22153673781277392,0,FALSE
Black,P-B,30604,0.011651855974745556,0.015152302824247843,FALSE
Mixed,P-B,14917,0.0056797372831219025,0.007385534610812478,FALSE
South Asian,P-B,109144,0.04155166204363945,0.05403813029178234,FALSE
White,P-B,1841217,0.7009612038804495,0.911602324831824,FALSE
Other,P-B,23877,0.00909085371564233,0.011821707441333347,FALSE
(missing),P-B,606942,0.23106468710240124,0,FALSE
Black,Unknown,21,0.011671087533156498,0.014018691588785047,FALSE
Mixed,Unknown,21,0.010079575596816976,0.014018691588785047,FALSE
South Asian,Unknown,98,0.05305039787798409,0.06542056074766354,FALSE
White,Unknown,1344,0.713527851458886,0.897196261682243,FALSE
Other,Unknown,14,0.007957559681697613,0.009345794392523364,FALSE
(missing),Unknown,385,0.20371352785145888,0,FALSE
