.level1,.level2,n,pct,pct_nonmiss,redacted
1 least deprived,Ox-AZ,115248,0.15057675951173052,0.15365949265488213,FALSE
2,Ox-AZ,134638,0.17590871142688044,0.1795120676460157,FALSE
3,Ox-AZ,167776,0.219205196780233,0.22369477162003248,FALSE
4,Ox-AZ,168539,0.2202020650721129,0.22471207511246336,FALSE
5 most deprived,Ox-AZ,163821,0.21403141115003063,0.21842159296660632,FALSE
(missing),Ox-AZ,15365,0.020075856059012513,0,FALSE
1 least deprived,P-B,246701,0.13528613073681764,0.13817695652344378,FALSE
2,P-B,317653,0.1741938349568868,0.1779170930419475,FALSE
3,P-B,396550,0.21745617941051956,0.22210721524992452,FALSE
4,P-B,414477,0.22728853042270883,0.23214810806996083,FALSE
5 most deprived,P-B,410018,0.2248449745883354,0.22965062711472337,FALSE
(missing),P-B,38171,0.020930349884731723,0,FALSE
1 least deprived,Unknown,210,0.17802385008517888,0.19480519480519481,FALSE
2,Unknown,203,0.17546848381601363,0.18831168831168832,FALSE
3,Unknown,210,0.1788756388415673,0.19480519480519481,FALSE
4,Unknown,196,0.16439522998296421,0.18181818181818182,FALSE
5 most deprived,Unknown,259,0.21805792163543442,0.24025974025974026,FALSE
(missing),Unknown,98,0.08517887563884156,0,FALSE
