.level1,.level2,n,pct,pct_nonmiss,redacted
18-49,Ox-AZ,256242,0.12885955855988598,0.1288598825666371,FALSE
50s,Ox-AZ,162092,0.08151419862944466,0.08151339782311776,FALSE
60s,Ox-AZ,344680,0.17333295784790526,0.1733338965628916,FALSE
70s,Ox-AZ,954436,0.4799694448732913,0.47997014883341077,FALSE
80+,Ox-AZ,271082,0.13632384008947282,0.13632267421394276,FALSE
18-49,P-B,596638,0.2271441874347567,0.22714347769312151,FALSE
50s,P-B,289324,0.11014746225881389,0.11014729122195484,FALSE
60s,P-B,279188,0.10628939820444314,0.10628845841228217,FALSE
70s,P-B,763406,0.2906324499201662,0.2906330031472939,FALSE
80+,P-B,698145,0.2657865021818201,0.26578776952534755,FALSE
18-49,Unknown,322,0.16976127320954906,0.17100371747211895,FALSE
50s,Unknown,189,0.09973474801061008,0.10037174721189591,FALSE
60s,Unknown,217,0.11618037135278515,0.11524163568773234,FALSE
70s,Unknown,567,0.30185676392572947,0.30111524163568776,FALSE
80+,Unknown,588,0.31246684350132625,0.31226765799256506,FALSE
