.level1,.level2,n,pct,pct_nonmiss,redacted
East,Ox-AZ,165186,0.21581871891319146,0.21583799802436615,FALSE
East Midlands,Ox-AZ,117817,0.1539318811022254,0.15394395053598214,FALSE
London,Ox-AZ,29862,0.03901374058168506,0.03901876852156733,FALSE
North East,Ox-AZ,32984,0.043093976067321925,0.04309808656203124,FALSE
North West,Ox-AZ,77658,0.1014584588128775,0.10147074964328834,FALSE
South East,Ox-AZ,54159,0.07075935756215401,0.07076610690374273,FALSE
South West,Ox-AZ,118342,0.15461910616320682,0.15462993451139648,FALSE
West Midlands,Ox-AZ,34832,0.045509715872939144,0.0455127501554897,FALSE
Yorkshire and The Humber,Ox-AZ,134484,0.17570097609475865,0.1757216551421359,FALSE
(missing),Ox-AZ,70,9.406882964004301e-5,0,FALSE
East,P-B,459886,0.2521885617897182,0.25221994863309516,FALSE
East Midlands,P-B,302519,0.16589364170978715,0.16591356692861997,FALSE
London,P-B,76034,0.041695639108299536,0.04170009866438369,FALSE
North East,P-B,86093,0.047209542590037575,0.04721685817282775,FALSE
North West,P-B,167881,0.09206272085774513,0.09207268148296024,FALSE
South East,P-B,131026,0.07184964454378549,0.07185991960964223,FALSE
South West,P-B,297045,0.162890744100041,0.1629114055259733,FALSE
West Midlands,P-B,65660,0.03600625585389554,0.036010580507449735,FALSE
Yorkshire and The Humber,P-B,237209,0.13007876848295544,0.13009494047504788,FALSE
(missing),P-B,224,1.2448096373491148e-4,0,FALSE
East,Unknown,224,0.19335604770017037,0.19161676646706588,FALSE
East Midlands,Unknown,378,0.3219761499148211,0.32335329341317365,FALSE
London,Unknown,35,0.028960817717206135,0.029940119760479042,FALSE
North East,Unknown,21,0.020442930153321975,0.017964071856287425,FALSE
North West,Unknown,203,0.1737649063032368,0.17365269461077845,FALSE
South East,Unknown,77,0.06303236797274275,0.0658682634730539,FALSE
South West,Unknown,70,0.06132879045996593,0.059880239520958084,FALSE
West Midlands,Unknown,35,0.028109028960817718,0.029940119760479042,FALSE
Yorkshire and The Humber,Unknown,126,0.10902896081771721,0.10778443113772455,FALSE
(missing),Unknown,0,0,0,FALSE
East,Not vaccinated,0,NaN,NaN,FALSE
East Midlands,Not vaccinated,0,NaN,NaN,FALSE
London,Not vaccinated,0,NaN,NaN,FALSE
North East,Not vaccinated,0,NaN,NaN,FALSE
North West,Not vaccinated,0,NaN,NaN,FALSE
South East,Not vaccinated,0,NaN,NaN,FALSE
South West,Not vaccinated,0,NaN,NaN,FALSE
West Midlands,Not vaccinated,0,NaN,NaN,FALSE
Yorkshire and The Humber,Not vaccinated,0,NaN,NaN,FALSE
(missing),Not vaccinated,0,NaN,NaN,FALSE
