.level1,.level2,n,pct,pct_nonmiss,redacted
Female,Ox/AZ,157878,0.6693872186348624,0.6693773372113729,FALSE
Male,Ox/AZ,77980,0.3306085415438885,0.33062266278862706,FALSE
Inter-sex,Ox/AZ,0,0,0,FALSE
Unknown,Ox/AZ,0,4.239821249136137e-6,0,FALSE
Female,P/B,916958,0.6317910536201268,0.6317926853383622,FALSE
Male,P/B,534387,0.3681993002415669,0.36819766852997776,FALSE
Inter-sex,P/B,7,4.134059274141872e-6,4.823065830025514e-6,FALSE
Unknown,P/B,7,5.512079032189164e-6,4.823065830025514e-6,FALSE
Female,Not vaccinated,490,0.6671177266576455,0.6666666666666666,FALSE
Male,Not vaccinated,245,0.33288227334235454,0.3333333333333333,FALSE
Inter-sex,Not vaccinated,0,0,0,FALSE
Unknown,Not vaccinated,0,0,0,FALSE
