strata,model,model_descr,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,ve,ve.ll,ve.ul
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw1-3,-2.0387474958595724,-2.2983086806780286,-1.7791863110411161,0.13243160938968365,-15.394719623624763,1.7759260695888995e-53,0.13019167441212165,0.10042855692154048,0.16877542210901156,0.8698083255878784,0.8312245778909885,0.8995714430784595
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw4-7,-1.787410712155078,-1.9759800390018074,-1.5988413853083485,0.09621060812042477,-18.57810429716663,4.832775006070718e-77,0.16739303777316472,0.13862538736173702,0.20213057383067962,0.8326069622268353,0.7978694261693204,0.861374612638263
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw8-14,-1.7961200875556922,-1.9320659405776113,-1.660174234533773,0.06936140362488427,-25.89509429868734,7.563308445861494e-148,0.16594147922733235,0.1448486404716809,0.1901058542108913,0.8340585207726676,0.8098941457891087,0.8551513595283191
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw15-21,-1.8017929281399208,-1.9302107828962785,-1.673375073383563,0.06552051760608939,-27.499674818998447,1.7714250348867545e-166,0.1650027847188686,0.14511760695015702,0.18761278894526198,0.8349972152811314,0.812387211054738,0.854882393049843
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw22-28,-1.715946455229243,-1.8365562073848973,-1.5953367030735885,0.06153671858616222,-27.884919681354415,4.065426880005698e-171,0.17979347368687199,0.15936530323222461,0.20284022007781355,0.820206526313128,0.7971597799221865,0.8406346967677754
all,1,"Region-stratified Cox model, with no further adjustment",timesincevax_pw29+,-1.8704387992819445,-1.9654438313260187,-1.7754337672378702,0.04847284582444468,-38.587352722308886,0,0.15405604729868183,0.14009369484515827,0.16940994907390675,0.8459439527013182,0.8305900509260933,0.8599063051548417
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw1-3,-1.9201376174494258,-2.179810880047525,-1.6604643548513265,0.1324887929810797,-14.492830482074316,1.3448475742879067e-47,0.14658678784235257,0.11306291107102158,0.19005070863991097,0.8534132121576474,0.809949291360089,0.8869370889289784
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw4-7,-1.6549065578538533,-1.8437098344895924,-1.4661032812181143,0.09632997245102219,-17.1795601695544,3.777644392874845e-66,0.19110991259154123,0.1582293312837194,0.23082318805517488,0.8088900874084588,0.7691768119448251,0.8417706687162806
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw8-14,-1.645695924059555,-1.7819822792045446,-1.5094095689145655,0.06953513239018623,-23.667114270020697,7.867555064028682e-124,0.19287828743566257,0.16830419048332237,0.221040448590616,0.8071217125643374,0.778959551409384,0.8316958095166777
all,2,"Region-stratified Cox model, with adjustment for baseline confounders",timesincevax_pw15-21,-1.6416666680751022,-1.770494178186757,-1.5128391579634475,0.0657295292810632,-24.976090442626514,1.1121597137085138e-137,0.19365701121476545,0.17024883477310793,0.22028366915178255,0.8063429887852346,0.7797163308482175,0.8297511652268921
