stratum,model,model_descr,model_descr_wrap,term,estimate,conf.low,conf.high,std.error,statistic,p.value,or,or.ll,or.ul,term_left,term_right,term_midpoint,ve,ve.ll,ve.ul,diff,diff.std.error,z,diff.ll,diff.ul,diff.p.value
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",1-3,-15.467372047439191,-15.542100811373768,-15.392643283504615,0.03812762097876701,-405.67367305851195,0,1.916927422710342e-7,1.7788993664190215e-7,2.0656653284081027e-7,0,3,1.5,0.9999998083072578,0.9999997934334671,0.9999998221100633,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",4-7,-4.3862384169323105,-5.372204985864619,-3.400271848000002,0.5030534115470934,-8.719230038501971,2.800999772262356e-18,0.012447463435716956,0.004643880322327113,0.03336419873668671,3,7,5,0.987552536564283,0.9666358012633133,0.9953561196776729,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",8-14,-5.005040664048374,-5.890732463231448,-4.1193488648653,0.45189187463101244,-11.075748304027789,1.645001225076611e-28,0.006704068728110983,0.002764950730285697,0.016255095260446675,7,14,10.5,0.993295931271889,0.9837449047395533,0.9972350492697143,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",15-21,-5.724722209742038,-6.8665026231911,-4.5829417962929755,0.5825517317947069,-9.826976553834104,8.616685071145668e-23,0.0032642599296484505,0.001042115368769438,0.010224772810798022,14,21,17.5,0.9967357400703516,0.989775227189202,0.9989578846312306,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",22-28,-5.4274387446669605,-6.420266749637174,-4.434610739696747,0.5065542085474605,-10.714428294318374,8.70936764597315e-27,0.004394336419068036,0.0016282218492672349,0.011859681512465914,21,28,24.5,0.9956056635809319,0.9881403184875341,0.9983717781507327,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",29-35,-4.653423090305181,-5.407480291738304,-3.8993658888720586,0.3847301314621237,-12.095291503736318,1.1184455155062342e-33,0.009528927659069207,0.004482921647126913,0.020254751137568458,28,35,31.5,0.9904710723409308,0.9797452488624315,0.9955170783528731,0,NA,NA,NA,NA,NA
,1,"Region-stratified Cox model, with no further adjustment","Region-stratified Cox model,
with no further adjustment",36+,-5.572270777158433,-6.468136294663177,-4.67640525965369,0.4570826426256894,-12.19094810765246,3.473564162727258e-34,0.0038018374974667733,0.0015521157254042499,0.00931242955700347,35,42,38.5,0.9961981625025332,0.9906875704429965,0.9984478842745957,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",1-3,-15.433860935130243,-15.514356306584725,-15.35336556367576,0.041069821736225205,-375.7956641315774,0,1.9822542671103302e-7,1.8289450850351562e-7,2.148414412016959e-7,0,3,1.5,0.9999998017745733,0.9999997851585588,0.9999998171054915,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",4-7,-4.463083533298437,-5.449479712329817,-3.4766873542670567,0.5032726044008704,-8.868123347607192,7.438890388105979e-19,0.011526765267309285,0.004298540586714403,0.03090963429269475,3,7,5,0.9884732347326907,0.9690903657073052,0.9957014594132856,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",8-14,-5.075531764632368,-5.962135854499769,-4.188927674764967,0.45235733761478336,-11.220182237774528,3.246008467582075e-29,0.0062477632166106365,0.0025744075358626393,0.015162535327862565,7,14,10.5,0.9937522367833893,0.9848374646721374,0.9974255924641373,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",15-21,-5.810260096796676,-6.956123881569901,-4.664396312023451,0.5846351227939148,-9.938267254676735,2.837191881924746e-23,0.0029966505517455555,9.52782524239275e-4,0.009424936227127723,14,21,17.5,0.9970033494482544,0.9905750637728723,0.9990472174757608,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",22-28,-5.57556081900972,-6.575873859477074,-4.575247778542366,0.5103731743836603,-10.924478594986718,8.804460788747696e-28,0.0037893498466993907,0.001393587586408545,0.010303745814560632,21,28,24.5,0.9962106501533006,0.9896962541854394,0.9986064124135915,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",29-35,-4.886299905853337,-5.65439406102898,-4.118205750677695,0.3918919741557863,-12.468486797616626,1.1091222020669667e-35,0.007549303996585207,0.003502094499556405,0.016273687314855814,28,35,31.5,0.9924506960034148,0.9837263126851442,0.9964979055004436,0,NA,NA,NA,NA,NA
,2,"Region-stratified Cox model, with adjustment for baseline confounders","Region-stratified Cox model,
with adjustment for baseline
confounders",36+,-5.900319863262556,-6.807563592010233,-4.9930761345148795,0.4628879591175652,-12.746755984992,3.2498977750510286e-37,0.002738568711135838,0.0011053827852478097,0.006784761519450363,35,42,38.5,0.9972614312888641,0.9932152384805496,0.9988946172147521,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",1-3,-15.404355476364781,-15.48563047754537,-15.323080475184192,0.041467599313904105,-371.4793171351903,0,2.0416129854853948e-7,1.8822449248300144e-7,2.2144746029154608e-7,0,3,1.5,0.9999997958387015,0.9999997785525397,0.9999998117755076,0,NA,NA,NA,NA,NA
,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders","Region-stratified marginal
structural Cox model, with
adjustment for baseline and
time-varying confounders",4-7,-4.445711962708709,-5.432351548000346,-3.4590723774170726,0.503396793550353,-8.8314268578352,1.0334876911833066e-18,0.01172875262315054,0.004372800851778339,0.031458930501972446,3,7,5,0.9882712473768495,0.9685410694980275,0.9956271991482216,0,NA,NA,NA,NA,NA
