ethnicity,n,seconddose_n,seconddose_%,posPC_n,posPC_%,posSGSS_n,posSGSS_%,admitted_n,admitted_%,coviddeath_n,coviddeath_%,death_n,death_%
Black,4735,-,-,0,0,52,0.010982048574445617,-,-,0,0,-,-
Mixed,2984,-,-,0,0,21,0.0070375335120643435,-,-,0,0,0,0
South Asian,25181,-,-,11,4.3683729796274967e-4,236,0.00937214566538263,-,-,0,0,-,-
White,352316,-,-,118,3.349265999841052e-4,1572,0.004461903518432317,-,-,-,-,74,2.1003871524426934e-4
Other,5458,-,-,0,0,52,0.009527299377061194,-,-,0,0,0,0
(missing),128502,-,-,47,3.657530622091485e-4,636,0.004949339309894009,-,-,-,-,27,2.1011346126908532e-4
