brand_descr,timesincevax_pw,postest_q,covidadmitted_q,coviddeath_q,noncoviddeath_q,death_q,postest_rr,covidadmitted_rr,coviddeath_rr,noncoviddeath_rr,death_rr,postest_rrCI,covidadmitted_rrCI,coviddeath_rrCI,noncoviddeath_rrCI,death_rrCI
Any vaccine,Unvaccinated,"9,748 /129,230","4,803 /130,929","1,808 /131,790","2,788 /131,790","4,596 /131,790",1,1,1,1,1,NA,NA,NA,NA,NA
Any vaccine,1-3,"260 / 12,646","112 / 12,644","-- / 12,646","63 / 12,646","64 / 12,646",0.27256853468979864,0.24146693925074106,NA,0.23549578906939114,0.1451226899692956,(0.24-0.31),(0.20-0.29),NA,(0.18-0.30),(0.11-0.19)
Any vaccine,4-7,"490 / 16,846","144 / 16,843","-- / 16,846","127 / 16,846","131 / 16,846",0.38560149661728516,0.2330556378162138,NA,0.3563580523839017,0.22298050813796944,(0.35-0.42),(0.20-0.28),NA,(0.30-0.43),(0.19-0.27)
Any vaccine,8-14,"917 / 29,439","256 / 29,433","-- / 29,439","278 / 29,439","283 / 29,439",0.4129505994676248,0.23710055730025298,NA,0.4463893103991245,0.2756564603112425,(0.39-0.44),(0.21-0.27),NA,(0.39-0.51),(0.24-0.31)
Any vaccine,15-21,"631 / 29,388","177 / 29,382","-- / 29,388","341 / 29,388","346 / 29,388",0.2846434597124635,0.1642152331096339,NA,0.5484871459142213,0.3375988225971467,(0.26-0.31),(0.14-0.19),NA,(0.49-0.61),(0.30-0.38)
Any vaccine,22-28,"405 / 29,322","111 / 29,315","-- / 29,322","305 / 29,322","309 / 29,322",0.1831121954669914,0.103217446680561,NA,0.4917023804365321,0.302185554885238,(0.17-0.20),(0.08-0.12),NA,(0.44-0.55),(0.27-0.34)
Any vaccine,29-35,"279 / 29,239","85 / 29,233","8 / 29,239","368 / 29,239","376 / 29,239",0.12650083918227883,0.07926316955236683,0.01994406856248215,0.5949455861565693,0.3687482963806534,(0.11-0.14),(0.06-0.10),(0.01-0.04),(0.53-0.66),(0.33-0.41)
Any vaccine,36+,"800 /158,836","191 /158,810","12 /158,836","2,265 /158,836","2,277 /158,836",0.06677141646201118,0.03278539710252883,0.005507016992656657,0.6740762621642795,0.4110707801646506,(0.06-0.07),(0.03-0.04),(0.00-0.01),(0.64-0.71),(0.39-0.43)
Any vaccine,Total,"13,530 /434,946","5,879 /436,590","1,847 /437,505","6,535 /437,505","8,382 /437,505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNT162b2,Unvaccinated,"9,748 /129,240","4,522 /130,131","1,591 /130,672","2,726 /130,672","4,317 /130,672",1,1,1,1,1,NA,NA,NA,NA,NA
BNT162b2,1-3,"104 /  5,161","38 /  5,160","-- /  5,161","12 /  5,161","13 /  5,161",0.26719055966108207,0.21192108792751482,NA,0.11146654645950861,0.07625186227766322,(0.22-0.32),(0.15-0.29),NA,(0.06-0.20),(0.04-0.13)
BNT162b2,4-7,"228 /  6,876","51 /  6,875","0 /  6,876","38 /  6,876","38 /  6,876",0.4396327419981004,0.21347243053524861,0,0.2649197327770511,0.1672854277392266,(0.38-0.50),(0.16-0.28),(NA-0.04),(0.19-0.36),(0.12-0.23)
BNT162b2,8-14,"378 / 12,021","99 / 12,019","0 / 12,021","75 / 12,021","75 / 12,021",0.41690147689518375,0.23703188192122732,0,0.29907383969830087,0.1888522786698096,(0.38-0.46),(0.19-0.29),(NA-0.03),(0.23-0.38),(0.15-0.24)
BNT162b2,15-21,"237 / 12,008","56 / 12,006","-- / 12,008","90 / 12,008","92 / 12,008",0.261676561144603,0.13422812372466109,NA,0.3592812198150202,0.23191222217035629,(0.23-0.30),(0.10-0.17),NA,(0.29-0.44),(0.19-0.29)
BNT162b2,22-28,"168 / 11,991","32 / 11,989","0 / 11,991","106 / 11,991","106 / 11,991",0.185758524350186,0.07681098019148035,0,0.42376088336779005,0.2675867889878609,(0.16-0.22),(0.05-0.11),(NA-0.03),(0.35-0.51),(0.22-0.32)
BNT162b2,29-35,"124 / 11,976","34 / 11,974","-- / 11,976","116 / 11,976","118 / 11,976",0.1372785951627224,0.08171317960539626,NA,0.4643170799815488,0.298251392816501,(0.11-0.16),(0.06-0.11),NA,(0.38-0.56),(0.25-0.36)
BNT162b2,36+,"351 / 67,100","91 / 67,091","8 / 67,100","868 / 67,100","876 / 67,100",0.06935354801571876,0.03903263412319854,0.009792255925815473,0.6200929900256813,0.39517094509797995,(0.06-0.08),(0.03-0.05),(0.00-0.02),(0.57-0.67),(0.37-0.43)
BNT162b2,Total,"11,338 /256,372","4,923 /257,246","1,604 /257,804","4,031 /257,804","5,635 /257,804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChAdOx1,Unvaccinated,"9,748 /129,240","4,604 /130,576","1,692 /131,330","2,757 /131,330","4,449 /131,330",1,1,1,1,1,NA,NA,NA,NA,NA
ChAdOx1,1-3,"156 /  7,484","74 /  7,483","0 /  7,484","51 /  7,484","51 /  7,484",0.27635248446647626,0.2804762291533639,0,0.3246044521282568,0.20115407384077408,(0.23-0.32),(0.22-0.35),(NA-0.04),(0.24-0.43),(0.15-0.26)
ChAdOx1,4-7,"262 /  9,969","93 /  9,967","-- /  9,969","89 /  9,969","93 /  9,969",0.3484368016989963,0.2646372188158944,NA,0.4252636428382286,0.2753756639855053,(0.31-0.39),(0.21-0.32),NA,(0.34-0.53),(0.22-0.34)
ChAdOx1,8-14,"539 / 17,416","157 / 17,412","-- / 17,416","203 / 17,416","208 / 17,416",0.4103242562202851,0.25573480204895555,NA,0.555239027277395,0.3525507493535226,(0.38-0.45),(0.22-0.30),NA,(0.48-0.64),(0.31-0.41)
ChAdOx1,15-21,"394 / 17,379","121 / 17,374","-- / 17,379","251 / 17,379","254 / 17,379",0.30058002763355945,0.19751602934095489,NA,0.687991607869178,0.4314371080975377,(0.27-0.33),(0.16-0.24),NA,(0.60-0.78),(0.38-0.49)
ChAdOx1,22-28,"237 / 17,329","79 / 17,325","-- / 17,329","199 / 17,329","203 / 17,329",0.18132382170423672,0.1293270989813632,NA,0.5470224060509409,0.34579796828256376,(0.16-0.21),(0.10-0.16),NA,(0.47-0.63),(0.30-0.40)
ChAdOx1,29-35,"155 / 17,263","51 / 17,258","6 / 17,263","252 / 17,263","258 / 17,263",0.11904449503887787,0.08381027371382899,0.026978065069787935,0.6953823779903554,0.4411814120515826,(0.10-0.14),(0.06-0.11),(0.01-0.06),(0.61-0.79),(0.39-0.50)
ChAdOx1,36+,"449 / 91,734","100 / 91,717","-- / 91,734","1,397 / 91,734","1,401 / 91,734",0.06489281185707342,0.03092265223180662,NA,0.7254244331546766,0.4508252877642517,(0.06-0.07),(0.03-0.04),NA,(0.68-0.77),(0.42-0.48)
ChAdOx1,Total,"11,940 /307,814","5,279 /309,112","1,718 /309,904","5,199 /309,904","6,917 /309,904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
